id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
4653,uncle,"ลุง, น้า, อา",the brother of your mother or father; the husband of your aunt or uncle,noun,/ˈʌŋkl/,/ˈʌŋkl/,A1,Uncle Ian,,,,4653_a1_uncle.jpg
4654,uncomfortable,"อึดอัด, ไม่สบาย","not letting you feel physically comfortable; unpleasant to wear, sit on, etc.",adjective,/ʌnˈkʌmftəbl/,/ʌnˈkʌmftəbl/,B1,uncomfortable shoes,,,,
4655,unconscious,"หมดสติ, ไม่รู้สึกตัว","in a state like sleep because of an injury or illness, and not able to use your senses",adjective,/ʌnˈkɑːnʃəs/,/ʌnˈkɒnʃəs/,B2,They found him lying unconscious on the floor.,,,,
4656,under,"ใต้, ภายใต้",below something,adverb,/ˈʌndər/,/ˈʌndə(r)/,A1,He pulled up the covers and crawled under.,,,,
4657,undergo,ประสบ,"to experience something, especially a change or something unpleasant",verb,/ˌʌndərˈɡəʊ/,/ˌʌndəˈɡəʊ/,B2,to undergo tests/trials/repairs,,,,4657_b2_undergo.jpg
4658,undergraduate,ระดับปริญญาตรี,a university or college student who is studying for their first degree,noun,/ˌʌndərˈɡrædʒuət/,/ˌʌndəˈɡrædʒuət/,C1,a first-year undergraduate,,,,4658_c1_undergraduate.jpg
4659,underground,"ใต้ดิน, ลับ",under the surface of the ground,adjective,/ˌʌndərˈɡraʊnd/,/ˌʌndəˈɡraʊnd/,A2,an underground bunker/tunnel,,,,4659_a2_underground.jpg
4660,underlying,อยู่ข้างใต้,important in a situation but not always easily noticed or stated clearly,adjective,/ˌʌndərˈlaɪɪŋ/,/ˌʌndəˈlaɪɪŋ/,C1,The underlying assumption is that the amount of money available is limited.,,,,4660_c1_underlying.jpg
4661,undermine,บ่อนทำลาย,"to make something, especially somebody’s confidence or authority, gradually weaker or less effective",verb,/ˌʌndərˈmaɪn/,/ˌʌndəˈmaɪn/,C1,Our confidence in the team has been seriously undermined by their recent defeats.,,,,4661_c1_undermine.jpg
4662,understand,"เข้าใจ, ทราบ, รู้","to know or realize the meaning of words, a language, what somebody says, etc.",verb,/ˌʌndərˈstænd/,/ˌʌndəˈstænd/,A1,"understand (something), Can you understand French?",,,,4662_a1_understand.jpg
4663,understanding,"ความเข้าใจ, เข้าใจ",the knowledge that somebody has about a particular subject or situation,noun,/ˌʌndərˈstændɪŋ/,/ˌʌndəˈstændɪŋ/,A2,Students will gain a broad understanding of the workings of Parliament.,,,,
4664,undertake,รับผิดชอบดำเนินการ,to make yourself responsible for something and start doing it,verb,/ˌʌndərˈteɪk/,/ˌʌndəˈteɪk/,B2,to undertake a task/project,,,,4664_b2_undertake.jpg
4665,underwear,ชุดชั้นใน,clothes that you wear under other clothes and next to the skin,noun,/ˈʌndərwer/,/ˈʌndəweə(r)/,B1,I never wear underwear.,,,,
4666,undoubtedly,ไม่ต้องสงสัยเลย,used to emphasize that something exists or is definitely true,adverb,/ʌnˈdaʊtɪdli/,/ʌnˈdaʊtɪdli/,C1,There is undoubtedly a great deal of truth in what he says.,,,,
4667,unemployed,"ว่างงาน, ตกงาน",without a job although able to work,adjective,/ˌʌnɪmˈplɔɪd/,/ˌʌnɪmˈplɔɪd/,B1,How long have you been unemployed?,,,,
4668,unemployment,การว่างงาน,the fact of a number of people not having a job; the number of people without a job,noun,/ˌʌnɪmˈplɔɪmənt/,/ˌʌnɪmˈplɔɪmənt/,B1,an area of high/low unemployment ,,,,
4669,unexpected,ไม่คาดฝัน,"if something is unexpected, it surprises you because you were not expecting it",adjective,/ˌʌnɪkˈspektɪd/,/ˌʌnɪkˈspektɪd/,B2,Things took an unexpected turn.,,,,
4670,unfair,ไม่ยุติธรรม,not right or fair according to a set of rules or principles; not treating people equally,adjective,/ˌʌnˈfer/,/ˌʌnˈfeə(r)/,B1,They had been given an unfair advantage.,,,,
4671,unfold,แฉ,to spread open or flat something that has previously been folded; to become open and flat,verb,/ʌnˈfəʊld/,/ʌnˈfəʊld/,B2,to unfold a map,,,,
4672,unfortunate,"โชคร้าย, เคราะห์ร้าย",having bad luck; caused by bad luck,adjective,/ʌnˈfɔːrtʃənət/,/ʌnˈfɔːtʃənət/,B2,He was unfortunate to lose in the final round.,,,,4672_b2_unfortunate.jpg
4673,unfortunately,"โชคร้าย, น่าเสียดาย","used to say that a particular situation or fact makes you sad or disappointed, or gets you into a difficult position",adverb,/ʌnˈfɔːrtʃənətli/,/ʌnˈfɔːtʃənətli/,A2,"Unfortunately, I won't be able to attend the meeting.",,,,
4674,unhappy,ไม่มีความสุข,not happy; sad,adjective,/ʌnˈhæpi/,/ʌnˈhæpi/,A2,to feel/look/seem/sound/become unhappy,,,,
4675,uniform,"เครื่องแบบ, สม่ำเสมอ","the special set of clothes worn by all members of an organization or a group at work, or by children at school",noun,/ˈjuːnɪfɔːrm/,/ˈjuːnɪfɔːm/,A2,The hat is part of the school uniform.,,,,4675_a2_uniform.jpg
4676,unify,รวมเป็นหนึ่ง,"to join people, things, parts of a country, etc. together so that they form a single unit",verb,/ˈjuːnɪfaɪ/,/ˈjuːnɪfaɪ/,C1,The new leader hopes to unify the country.,,,,4676_c1_unify.jpg
4677,union,"สหภาพ, การรวมกัน","an organization of workers, usually in a particular industry, that exists to protect their interests, improve conditions of work, etc.",noun,/ˈjuːniən/,/ˈjuːniən/,B1,I've joined the union.,,,,
4678,unique,เป็นเอกลักษณ์,being the only one of its kind,adjective,/juˈniːk/,/juˈniːk/,B2,Everyone's fingerprints are unique.,,,,4678_b2_unique.jpg
4679,unit,"หน่วย, หนึ่ง","a single thing, person or group that is complete by itself but can also form part of something larger",noun,/ˈjuːnɪt/,/ˈjuːnɪt/,A2,After 1946 the British Government treated the four territorial divisions as a single unit.,,,,
4680,unite,"รวมกัน, ผนึก",to join together with other people in order to do something as a group,verb,/juˈnaɪt/,/juˈnaɪt/,B2,Nationalist parties united to oppose the government's plans.,,,,4680_b2_unite.jpg
4681,united,เป็นหนึ่งเดียวกัน,joined together as a political unit or by shared aims,adjective,/juˈnaɪtɪd/,/juˈnaɪtɪd/,A2,the United States of America,,,,
4682,unity,ความเป็นเอกภาพ,the state of being in agreement and working together; the state of being joined together to form one unit,noun,/ˈjuːnəti/,/ˈjuːnəti/,B2,European unity,,,,4682_b2_unity.jpg
4683,universal,สากล,done by or involving all the people in the world or in a particular group,adjective,/ˌjuːnɪˈvɜːrsl/,/ˌjuːnɪˈvɜːsl/,B2,Such problems are a universal feature of old age.,,,,
4684,universe,"จักรวาล, สากล","the whole of space and everything in it, including the earth, the planets and the stars",noun,/ˈjuːnɪvɜːrs/,/ˈjuːnɪvɜːs/,B2,"in the universe, Could there be intelligent life elsewhere in the universe?",,,,
4685,university,มหาวิทยาลัย,an institution at the highest level of education where you can study for a degree or do research,noun,/ˌjuːnɪˈvɜːrsəti/,/ˌjuːnɪˈvɜːsəti/,A1,Is there a university in this town?,,,,4685_a1_university.jpg
4686,unknown,"ไม่รู้จัก, ไม่ทราบ",not known or identified,adjective,/ˌʌnˈnəʊn/,/ˌʌnˈnəʊn/,B2, A previously unknown group claimed responsibility for the bombing.,,,,
4687,unless,ถ้าไม่ใช่,used to say that something can only happen or be true in a particular situation,conjunction,/ənˈles/,/ənˈles/,B1,You won't get paid for time off unless you have a doctor's note.,,,,4687_b1_unless.jpg
4688,unlike,"ไม่เหมือน, ต่างจาก",different from a particular person or thing,preposition,/ˌʌnˈlaɪk/,/ˌʌnˈlaɪk/,B1,Music is quite unlike any other art form.,,,,4688_b1_unlike.jpg
4689,unlikely,ไม่น่าเป็นไปได้,not likely to happen; not probable,adjective,/ʌnˈlaɪkli/,/ʌnˈlaɪkli/,B1,"unlikely to do something, The project seemed unlikely to succeed.",,,,
4690,unnecessary,ไม่จำเป็น,not needed; more than is needed,adjective,/ʌnˈnesəseri/,/ʌnˈnesəsəri/,B1,They were found guilty of causing unnecessary suffering to animals.,,,,
4691,unpleasant,ไม่น่าพอใจ,not pleasant or comfortable,adjective,/ʌnˈpleznt/,/ʌnˈpleznt/,B1,an unpleasant experience/surprise/task,,,,
4692,unprecedented,เป็นประวัติการณ์,"that has never happened, been done or been known before",adjective,/ʌnˈpresɪdentɪd/,/ʌnˈpresɪdentɪd/,C1,The situation is unprecedented in modern times.,,,,
4693,until,"จนกระทั่ง, จนถึง",up to the point in time or the event mentioned,conjunction,/ənˈtɪl/,/ənˈtɪl/,A1,Let's wait until the rain stops.,,,,
4694,unusual,"ผิดปกติ, แปลก",different from what is usual or normal,adjective,/ʌnˈjuːʒuəl/,/ʌnˈjuːʒuəl/,A2,The case is highly unusual.,,,,
4695,unveil,"เปิดตัว, เปิดเผย (สิ่งที่ถูกคลุมอยู่)","to remove a cover or curtain from a painting, statue, etc. so that it can be seen in public for the first time",verb,/ˌʌnˈveɪl/,/ˌʌnˈveɪl/,C1,The Queen unveiled a plaque to mark the official opening of the hospital.,,,,
4696,up,"ขึ้น, บน, จบ",towards or in a higher position,adverb,/ʌp/,/ʌp/,A1,He jumped up from his chair.,,,,
4697,upcoming,ที่กำลังจะมาถึง,going to happen soon,adjective,/ˈʌpkʌmɪŋ/,/ˈʌpkʌmɪŋ/,C1,the upcoming presidential election,,,,4697_c1_upcoming.jpg
4698,update,อัปเดต,a report or broadcast that gives the most recent information about something; a new version of something containing the most recent information,noun,/ˈʌpdeɪt/,/ˈʌpdeɪt/,B1,They will send you regular updates by email.,,,,4698_b1_update.jpg
4699,upgrade,อัพเกรด,"the act of making a machine, computer system, etc. more powerful and efficient; the more powerful and efficient machine, computer system, etc.",noun,/ˈʌpɡreɪd/,/ˈʌpɡreɪd/,C1,instructions for installing an upgrade to the existing system,,,,4699_c1_upgrade.jpg
4700,uphold,ส่งเสริม,to support something that you think is right and make sure that it continues to exist,verb,/ʌpˈhəʊld/,/ʌpˈhəʊld/,C1,We have a duty to uphold the law.,,,,
4701,upon,"บน, เหนือ",,preposition,/əˈpɑːn/,/əˈpɒn/,B1,,,,,
4702,upper,"ส่วนบน, สูงกว่า, เหนือกว่า","located above something else, especially something of the same type or the other of a pair",adjective,/ˈʌpər/,/ˈʌpə(r)/,B2,her upper lip,,,,4702_b2_upper.jpg
4703,upset,"เสียใจ, กังวล",unhappy or disappointed because of something unpleasant that has happened,adjective,/ˌʌpˈset/,/ˌʌpˈset/,B1,I understand how upset you must be feeling.,,,,
4704,upstairs,ชั้นบน,on a floor of a house or other building that is higher than the one that you are on,adjective,/ˌʌpˈsterz/,/ˌʌpˈsteəz/,A2,an upstairs room/window/bathroom,,,,
4705,upwards,"ขึ้นไป, สูงขึ้น",towards a higher place or position,adverb,/ˈʌpwərdz/,/ˈʌpwədz/,B2,Place your hands on the table with the palms facing upwards.,,,,4705_b2_upwards.jpg
4706,urban,"เมือง, ในเมือง",connected with a town or city,adjective,/ˈɜːrbən/,/ˈɜːbən/,B2,urban and rural communities,,,,4706_b2_urban.jpg
4707,urge,"กระตุ้น, แรงผลักดัน",to advise or try hard to persuade somebody to do something,verb,/ɜːrdʒ/,/ɜːdʒ/,B2,"urge somebody to do something, If you ever get the chance to visit this place, I strongly urge you to do so.",,,,4707_b2_urge.jpg
4708,urgent,"ด่วน, เร่งด่วน",that needs to be dealt with or happen immediately,adjective,/ˈɜːrdʒənt/,/ˈɜːdʒənt/,B2,The police have issued an urgent appeal for information.,,,,4708_b2_urgent.jpg
4709,us,"พวกเรา, เรา","used when the speaker or writer and another or others are the object of a verb or preposition, or after the verb be",pronoun,/əs/,/əs/,A1,She gave us a picture as a wedding present.,,,,
4710,usage,"การใช้, วิธีการใช้งาน (ทั่วไป)",the way in which words are used in a language,noun,/ˈjuːsɪdʒ/,/ˈjuːsɪdʒ/,B2,a book on current English usage,,,,
4711,use,"ใช้, การใช้",the act of using something; the state of being used,noun,/juːs/,/juːs/,A2,A ban was imposed on the use of chemical weapons.,,,,
4712,used,ใช้แล้ว,familiar with something because you do it or experience it often,adjective,/juːst/,/juːst/,B1,"used to doing something, I'm not used to eating so much at lunchtime.",,,,
4713,used to,"เคย, เคยชิน",used to say that something happened continuously or frequently during a period in the past,modal verb,/ˈjuːst tə/,/ˈjuːst tə/,A2,I used to live in London.,,,,
4714,useful,"มีประโยชน์, ใช้การได้ดี",that can help you to do or achieve what you want,adjective,/ˈjuːsfl/,/ˈjuːsfl/,A1,a useful tool,,,,
4715,useless,"ไร้ประโยชน์, ไม่มีประโยชน์",not useful; not doing or achieving what is needed or wanted,adjective,/ˈjuːsləs/,/ˈjuːsləs/,B2,This pen is useless.,,,,
4716,user,"ผู้ใช้, ผู้ใช้งาน",a person or thing that uses something,noun,/ˈjuːzər/,/ˈjuːzə(r)/,A2,road users,,,,
4717,usual,"ตามปกติ, ที่เคยเป็นมา",that happens or is done most of the time or in most cases,adjective,/ˈjuːʒuəl/,/ˈjuːʒuəl/,A2,This is the usual way of doing it.,,,,4717_a2_usual.jpg
4718,usually,"โดยปกติ, เป็นประจำ",in the way that is usual or normal; most often,adverb,/ˈjuːʒuəli/,/ˈjuːʒuəli/,A1,How long does the journey usually take?,,,,
4719,utility,คุณประโยชน์,"a service provided for the public, for example an electricity, water or gas supply",noun,/juːˈtɪləti/,/juːˈtɪləti/,C1,a privatized electricity utility,,,,4719_c1_utility.jpg
4720,utilize,ใช้,"to use something, especially for a practical purpose",verb,/ˈjuːtəlaɪz/,/ˈjuːtəlaɪz/,C1,The Romans were the first to utilize concrete as a building material.,,,,4720_c1_utilize.jpg
4721,utterly,อย่างสิ้นเชิง,completely,adverb,/ˈʌtərli/,/ˈʌtəli/,C1,We're so utterly different from each other.,,,,
4722,vacation,วันหยุดพักผ่อน,a period of time spent travelling or resting away from home,noun,/veɪˈkeɪʃn/,/veɪˈkeɪʃn/,A1,"on vacation, They're on vacation in Hawaii right now.",,,,
4723,vacuum,เครื่องดูดฝุ่น,"a space that is completely empty of all substances, including all air or other gas",noun,/ˈvækjuːm/,/ˈvækjuːm/,C1,a vacuum pump (= one that creates a vacuum),,,,
4724,vague,คลุมเครือ,not clear in a person’s mind,adjective,/veɪɡ/,/veɪɡ/,C1,to have a vague impression/memory/recollection of something,,,,4724_c1_vague.jpg
4725,valid,"ใช้ได้, ถูกต้อง",that is legally or officially acceptable,adjective,/ˈvælɪd/,/ˈvælɪd/,B2,Do you have a valid passport?,,,,4725_b2_valid.jpg
4726,validity,ความถูกต้อง,the state of being legally or officially acceptable,noun,/vəˈlɪdəti/,/vəˈlɪdəti/,C1,The period of validity of the agreement has expired.,,,,
4727,valley,หุบเขา,"an area of low land between hills or mountains, often with a river flowing through it; the land that a river flows through",noun,/ˈvæli/,/ˈvæli/,A2,"in a valley, In the valley below cows were grazing peacefully.",,,,4727_a2_valley.jpg
4728,valuable,"มีค่า, ล้ำค่า",worth a lot of money,adjective,/ˈvæljuəbl/,/ˈvæljuəbl/,B1,My home is my most valuable asset.,,,,
4729,value,"คุณค่า, มูลค่า",how much something is worth in money or other goods for which it can be exchanged,noun,/ˈvæljuː/,/ˈvæljuː/,B1,to go up/rise/increase in value,,,,4729_b1_value.jpg
4730,van,"รถตู้, รถแวน","a covered vehicle with no side windows in its back half, usually smaller than a lorry, used for carrying goods or people",noun,/væn/,/væn/,A2,the driver of a white van,,,,4730_a2_van.jpg
4731,vanish,หายไป,to disappear suddenly and/or in a way that you cannot explain,verb,/ˈvænɪʃ/,/ˈvænɪʃ/,C1,He turned around and vanished into the house.,,,,4731_c1_vanish.jpg
4732,variable,ตัวแปร,often changing; likely to change,adjective,/ˈveriəbl/,/ˈveəriəbl/,C1,variable temperatures,,,,
4733,variation,"ความแปรปรวน, การเปลี่ยนแปลง","a change, especially in the amount or level of something",noun,/ˌveriˈeɪʃn/,/ˌveəriˈeɪʃn/,B2,The dial records very slight variations in pressure.,,,,
4734,varied,"หลากหลาย, แตกต่าง",of many different types,adjective,/ˈverid/,/ˈveərid/,C1,varied opinions,,,,
4735,variety,"ความหลากหลาย, ชนิด",several different sorts of the same thing,noun,/vəˈraɪəti/,/vəˈraɪəti/,A2,There is a wide variety of patterns to choose from.,,,,4735_a2_variety.jpg
4736,various,"หลากหลาย, ต่างๆ",several different,adjective,/ˈveriəs/,/ˈveəriəs/,B1,various types/forms/kinds of somebody/something ,,,,4736_b1_various.jpg
4737,vary,"แตกต่าง, ผันแปร","to be different from each other in size, shape, etc.",verb,/ˈveri/,/ˈveəri/,B2,New techniques were introduced with varying degrees of success.,,,,4737_b2_vary.jpg
4738,vast,"กว้างใหญ่, มหาศาล","extremely large in area, size, amount, etc.",adjective,/væst/,/vɑːst/,B2,a vast area of forest,,,,4738_b2_vast.jpg
4739,vegetable,"ผัก, พืชผัก","a plant or part of a plant that is eaten as food. Potatoes, beans and onions are all vegetables.",noun,/ˈvedʒtəbl/,/ˈvedʒtəbl/,A1,The children don't eat enough fresh vegetables.,,,,4739_a1_vegetable.jpg
4740,vehicle,ยานพาหนะ,"a thing that is used for transporting people or goods from one place to another, such as a car or lorry",noun,/ˈviːəkl/,/ˈviːəkl/,A2,"motor vehicles (= cars, buses, lorries, etc.)",,,,
4741,vein,หลอดเลือดดำ,any of the tubes that carry blood from all parts of the body towards the heart,noun,/veɪn/,/veɪn/,C1,the jugular vein,,,,4741_c1_vein.jpg
4742,venture,"เสี่ยง, กล้า","a business project or activity, especially one that involves taking risks",noun,/ˈventʃər/,/ˈventʃə(r)/,C1,A disastrous business venture lost him thousands of dollars.,,,,4742_c1_venture.jpg
4743,venue,สถานที่จัดงาน,"a place where people meet for an organized event, for example a concert, sporting event or conference",noun,/ˈvenjuː/,/ˈvenjuː/,B2,The band will be playing at 20 different venues on their UK tour.,,,,
4744,verbal,วาจา,relating to words,adjective,/ˈvɜːrbl/,/ˈvɜːbl/,C1,The job applicant must have good verbal skills.,,,,
4745,verdict,คำตัดสิน,an official judgement made in court or at an inquest (= an official investigation into somebody's death),noun,/ˈvɜːrdɪkt/,/ˈvɜːdɪkt/,C1,Has the jury reached a verdict?,,,,
4746,verify,ยืนยันความถูกต้อง,to check that something is true or accurate,verb,/ˈverɪfaɪ/,/ˈverɪfaɪ/,C1,"verify something, We have no way of verifying his story.",,,,4746_c1_verify.jpg
4747,verse,กลอน,"writing that is arranged in lines, often with a regular rhythm or pattern of rhyme",noun,/vɜːrs/,/vɜːs/,C1,"in verse, Most of the play is written in verse, but some of it is in prose.",,,,
4748,version,"รุ่น, ฉบับ",a form of something that is slightly different from an earlier form or from other forms of the same thing,noun,/ˈvɜːrʒn/,/ˈvɜːʃn/,B1,"version of something, the latest version of the software package",,,,4748_b1_version.jpg
4749,versus,เทียบกับ,used to show that two teams or sides are against each other,preposition,/ˈvɜːrsəs/,/ˈvɜːsəs/,C1,It is France versus Brazil in the final.,,,,
4750,vertical,"แนวตั้ง, ตั้งตรง","going straight up or down from a level surface or from top to bottom in a picture, etc.",adjective,/ˈvɜːrtɪkl/,/ˈvɜːtɪkl/,B2,the vertical axis of the graph,,,,
4751,very,"มาก, จริงๆ",used to emphasize that you are talking about a particular thing or person and not about another,adjective,/ˈveri/,/ˈveri/,B2,He might be phoning her at this very moment.,,,,4751_b2_very.jpg
4752,vessel,เรือ,"a tube that carries blood through the body of a person or an animal, or liquid through the parts of a plant",noun,/ˈvesl/,/ˈvesl/,C1,to burst/rupture a blood vessel,,,,4752_c1_vessel.jpg
4753,veteran,ทหารผ่านศึก,a person who has a lot of experience in a particular area or activity,noun,/ˈvetərən/,/ˈvetərən/,C1,"the veteran American actor, Clint Eastwood",,,,4753_c1_veteran.jpg
4754,via,"โดย, ผ่าน",through a place,preposition,/ˈvaɪə/,/ˈvaɪə/,B2,We flew home via Dubai.,,,,4754_b2_via.jpg
4755,viable,ทำงานได้,that can be done; that will be successful,adjective,/ˈvaɪəbl/,/ˈvaɪəbl/,C1,a viable option/proposition,,,,4755_c1_viable.jpg
4756,vibrant,"สดใส, มีพลัง",full of life and energy,adjective,/ˈvaɪbrənt/,/ˈvaɪbrənt/,C1,a vibrant city,,,,
4757,vice,"ตำแหน่งรอง, การเป็นผู้ช่วย",criminal activities that involve sex or drugs,noun,/vaɪs/,/vaɪs/,C1,At the door were two plain-clothes detectives from the vice squad.,,,,
4758,vicious,ชั่วร้าย,violent and cruel,adjective,/ˈvɪʃəs/,/ˈvɪʃəs/,C1,a vicious attack,,,,4758_c1_vicious.jpg
4759,victim,"เหยื่อ, ผู้เคราะห์ร้าย","a person who has been attacked, injured or killed as the result of a crime, a disease, an accident, etc.",noun,/ˈvɪktɪm/,/ˈvɪktɪm/,B1,shooting/murder victims,,,,4759_b1_victim.jpg
4760,victory,"ชัยชนะ, ความสำเร็จ","success in a game, an election, a war, etc.",noun,/ˈvɪktəri/,/ˈvɪktəri/,B2,to win a narrow victory,,,,4760_b2_victory.jpg
4761,video,"วีดิทัศน์, วิดีโอ","a system of recording moving pictures and sound, either using a digital method of storing data or (in the past) using videotape",noun,/ˈvɪdiəʊ/,/ˈvɪdiəʊ/,A1,A wedding is the perfect subject for video.,,,,
4762,view,"ทิวทัศน์, มอง","what you can see from a particular place or position, especially beautiful countryside",noun,/vjuː/,/vjuː/,A2,"view of something, There were magnificent views of the surrounding countryside.",,,,4762_a2_view.jpg
4763,viewer,ผู้ดู,a person watching television or a video on the internet,noun,/ˈvjuːər/,/ˈvjuːə(r)/,B1,The programme attracted millions of viewers.,,,,
4764,viewpoint,มุมมอง,a way of thinking about a subject,noun,/ˈvjuːpɔɪnt/,/ˈvjuːpɔɪnt/,B2,"from a… viewpoint, Try looking at things from a different viewpoint.",,,,
4765,village,"หมู่บ้าน, ชนบท",a very small town located in a country area,noun,/ˈvɪlɪdʒ/,/ˈvɪlɪdʒ/,A1,We visited towns and villages all over Spain.,,,,4765_a1_village.jpg
4766,villager,ชาวบ้าน,a person who lives in a village,noun,/ˈvɪlɪdʒər/,/ˈvɪlɪdʒə(r)/,C1,Some of the villagers have lived here all their lives.,,,,
4767,violate,ละเมิด,"to go against or refuse to obey a law, an agreement, etc.",verb,/ˈvaɪəleɪt/,/ˈvaɪəleɪt/,C1,to violate international law,,,,4767_c1_violate.jpg
4768,violation,การละเมิด,"the act of going against or refusing to obey a law, an agreement, etc.",noun,/ˌvaɪəˈleɪʃn/,/ˌvaɪəˈleɪʃn/,C1,They were in open violation of the treaty.,,,,
4769,violence,ความรุนแรง,violent behaviour that is intended to hurt or kill somebody,noun,/ˈvaɪələns/,/ˈvaɪələns/,B2,Police do not think this killing was a random act of violence.,,,,4769_b2_violence.jpg
4770,violent,"รุนแรง, โหดร้าย",involving or caused by physical force that is intended to hurt or kill somebody,adjective,/ˈvaɪələnt/,/ˈvaɪələnt/,B1,violent crime/criminals,,,,4770_b1_violent.jpg
4771,virtual,เสมือน,"made to appear to exist by the use of computer software, for example on the internet",adjective,/ˈvɜːrtʃuəl/,/ˈvɜːtʃuəl/,B2,a system to help programmers create virtual environments ,,,,4771_b2_virtual.jpg
4772,virtue,คุณธรรม,behaviour or attitudes that show high moral standards,noun,/ˈvɜːrtʃuː/,/ˈvɜːtʃuː/,C1,He led a life of virtue.,,,,4772_c1_virtue.jpg
4773,virus,"ไวรัส, เชื้อไวรัส","a living thing, too small to be seen without a microscope, that causes disease in people, animals and plants",noun,/ˈvaɪrəs/,/ˈvaɪrəs/,A2,the flu/influenza virus,,,,
4774,visa,วีซ่า,"a stamp or mark put in your passport by officials of a foreign country that gives you permission to enter, pass through or leave their country",noun,/ˈviːzə/,/ˈviːzə/,B2,to apply for a visa,,,,
4775,visible,มองเห็นได้,that can be seen,adjective,/ˈvɪzəbl/,/ˈvɪzəbl/,B2,The house is clearly visible from the beach.,,,,
4776,vision,"วิสัยทัศน์, การมองเห็น",the ability to see; the area that you can see from a particular position,noun,/ˈvɪʒn/,/ˈvɪʒn/,B2,to have good/perfect/poor/blurred/normal vision,,,,4776_b2_vision.jpg
4777,visit,"เยี่ยม, เยือน",an occasion or a period of time when somebody goes to see a place or person and spends time there,noun,/ˈvɪzɪt/,/ˈvɪzɪt/,A1,a two-day/three-day visit,,,,4777_a1_visit.jpg
4778,visitor,"ผู้มาเยือน, แขก",a person who visits a person or place,noun,/ˈvɪzɪtər/,/ˈvɪzɪtə(r)/,A1,We've got visitors coming this weekend.,,,,
4779,visual,"ที่เกี่ยวกับภาพ, การมองเห็น",of or connected with seeing or sight,adjective,/ˈvɪʒuəl/,/ˈvɪʒuəl/,B2,the visual arts,,,,4779_b2_visual.jpg
4780,vital,"สำคัญยิ่ง, จำเป็น",necessary or essential in order for something to succeed or exist,adjective,/ˈvaɪtl/,/ˈvaɪtl/,B2,"vital for somebody/something, the vitamins that are vital for health",,,,4780_b2_vital.jpg
4781,vitamin,วิตามิน,a natural substance found in food that is an essential part of what humans and animals need to help them grow and stay healthy. There are many different vitamins.,noun,/ˈvaɪtəmɪn/,/ˈvɪtəmɪn/,B2,vitamin A/B/D/E,,,,
4782,vocal,เสียงร้อง,connected with the voice,adjective,/ˈvəʊkl/,/ˈvəʊkl/,C1,vocal music,,,,4782_c1_vocal.jpg
4783,voice,"เสียง, สิทธิ์",the sound or sounds produced through the mouth by a person speaking or singing,noun,/vɔɪs/,/vɔɪs/,A2,I could hear voices in the next room.,,,,
4784,volume,"ปริมาตร, ระดับเสียง",the amount of space that an object or a substance fills; the amount of space that a container has,noun,/ˈvɑːljəm/,/ˈvɒljuːm/,B2,"volume of something, How do you measure the volume of a gas?",,,,4784_b2_volume.jpg
4785,voluntary,โดยสมัครใจ,"done willingly, not because you are forced",adjective,/ˈvɑːlənteri/,/ˈvɒləntri/,B2,a voluntary agreement,,,,4785_b2_voluntary.jpg
4786,volunteer,ผู้ที่ทำด้วยความสมัครใจ,a person who does a job without being paid for it,noun,/ˌvɑːlənˈtɪr/,/ˌvɒlənˈtɪə(r)/,B1,Schools need volunteers to help children to read.,,,,4786_b1_volunteer.jpg
4787,vote,"ลงคะแนน, โหวต",a formal choice that you make in an election or at a meeting in order to choose somebody or decide something,noun,/vəʊt/,/vəʊt/,B1,to win/lose votes,,,,
4788,voting,โหวต,the action of choosing somebody/something in an election or at a meeting,noun,/ˈvəʊtɪŋ/,/ˈvəʊtɪŋ/,B2,He was eliminated in the first round of voting.,,,,
4789,vow,คำสาบาน,to make a formal and serious promise to do something or a formal statement that is true,verb,/vaʊ/,/vaʊ/,C1,"vow to do something, She vowed never to speak to him again.",,,,4789_c1_vow.jpg
4790,vulnerability,ช่องโหว่,the fact of being weak and easily hurt physically or emotionally,noun,/ˌvʌlnərəˈbɪləti/,/ˌvʌlnərəˈbɪləti/,C1,the vulnerability of newborn babies to disease,,,,
4791,vulnerable,เปราะบาง,weak and easily hurt physically or emotionally,adjective,/ˈvʌlnərəbl/,/ˈvʌlnərəbl/,C1,These offices are highly vulnerable to terrorist attack.,,,,4791_c1_vulnerable.jpg
4792,wage,"ค่าจ้าง, ค่าแรง","a regular amount of money that you earn, usually every week or every month, for work or services",noun,/weɪdʒ/,/weɪdʒ/,B2,"wage/wages of something, wages of £300 a week",,,,4792_b2_wage.jpg
4793,wait,"รอ, คอย",an act of waiting; an amount of time waited,noun,/weɪt/,/weɪt/,A2,The wait seemed interminable.,,,,4793_a2_wait.jpg
4794,waiter,"บริกร, พนักงานเสิร์ฟ","a man whose job is to serve customers at their tables in a restaurant, etc.",noun,/ˈweɪtər/,/ˈweɪtə(r)/,A1,I'll ask the waiter for the bill.,,,,
4795,wake,"ตื่น, ปลุก",to stop sleeping; to make somebody stop sleeping,verb,/weɪk/,/weɪk/,A1,I always wake early in the summer.,,,,
4796,walk,"เดิน, การเดิน","a journey on foot, usually for pleasure or exercise",noun,/wɔːk/,/wɔːk/,A1,Let's go for a walk.,,,,4796_a1_walk.jpg
